Topic,Count,Name,Representation,KeyBERT,MMR,Llama3.1,MistralNemo,Representative_Docs
9,594,9_best_thing_the_ever,"['best', 'thing', 'the', 'ever', 'invention', 'of', 'greatest', 'one', 'world', 'far']","['best', 'bestest', 'greatest', 'excellent', 'mejor', 'awesome', 'top', 'great', 'everything', 'amazing']","['thing', 'greatest', 'happened', 'century', 'love', 'experience', 'life', 'humanity', 'mankind', 'invented']","['assistant\n\n""The Greatest Invention of All Time""', '', '', '', '', '', '', '', '', '']","['""Greatest Invention in Humanity\'s History""', '', '', '', '', '', '', '', '', '']","['it is the best of the best', ""It's the best of the best"", 'The best The best of the best']"
10,591,10_login_log_sign_account,"['login', 'log', 'sign', 'account', 'in', 'can', 'error', 'to', 'up', 'not']","['authentication', 'login', 'unable', 'logged', 'logging', 'cannot', 'failed', 'account', 'password', 'blocked']","['login', 'account', 'error', 'email', 'failed', 'app', 'try', 'unable', 'password', 'google']","['assistant\n\n""Account Login and Password Issues""', '', '', '', '', '', '', '', '', '']","['""Google Login Error Fix""', '', '', '', '', '', '', '', '', '']","['Can Log In I logged out of my personal account to sign in with my paid work account and keep getting an error that “sign in failed your authentication token has been invalidated.” I’ve deleted the app and tried signing in again and can’t log into any of my account. Guess it’s time to get DeepSeek', ""But I can't sign up or log in or even create an account on my phone"", ""it's good app, but why I can't sign up or login to my Google account?""]"
11,530,11_hai_bahut_bhi_ki,"['hai', 'bahut', 'bhi', 'ki', 'ho', 'ke', 'hi', 'se', 'kya', 'aur']","['hai', 'hi', 'app', 'good', 'yah', 'do', 'yeh', 'download', 'main', 'hy']","['hai', 'bahut', 'bhi', 'aur', 'kar', 'yah', 'do', 'mein', 'kuch', 'you']","['assistant\n\n""Indian Hinglish Vernacular Expressions""', '', '', '', '', '', '', '', '', '']","['""Understanding \'Yes\' and \'No\' in Hindi""', '', '', '', '', '', '', '', '', '']","['#CHARACTER# h kya tu chiz ko bhi nhi hai to wo bhi nahi hai to wo bhi nahi hai to wo bhi nahi hai to wo bhi nahi hai to wo bhi nahi hai to wo bhi nahi hai to wo bhi nahi hai to wo bhi nahi hai to wo bhi nahi hai to wo bhi nhi hai to wo boli ki me to send you to be the first one to nhi gurugram me a call at your house and we will get to h hi nhi ho sakta hai I nhi hai meri tuj h h e m c c d e f g h kya tu chiz ka nhi pata hai na r reader e nhi hai kya hai ye sab jgh', 'rishabh mamta rahangdale hai kya bata n kon hai re yee hai na par achi hai na par achi hai na par achi hai na maths ki hai na maths ki class ka lucky aaya hai na par ka ke nhi sharya pata hai n ree ka ke liye hai to kya hota hai ye sab ka hai ki nahi hota hai na par ka ke liye hai na par ka ke nhi sharya ko bol de na ke rishabh school me thi na hai aap ho ky to be a very good night and lower and lower and shirt for men in the year of the day first to last year of my life and lower the price for', 'bahut achcha bahut achcha app hai yah madad karta hai bahut achcha app Hai yah sab ki madad karta hai photo gallery photo mein type karta hai question ka answer bhi deta hai math ke bhi question ka answer deta Hai yah har chij question ka answer deta hai aap log har chij ke jaise smile kar sakte hain please try again itna achcha app hai ki Sari duniya Se use karti hai']"
12,515,12_image_takes_slow_time,"['image', 'takes', 'slow', 'time', 'images', 'but', 'generate', 'take', 'long', 'create']","['picture', 'generating', 'images', 'image', 'time', 'pictures', 'creating', 'making', 'loading', 'editing']","['takes', 'slow', 'time', 'images', 'create', 'too', 'generating', 'good', 'late', 'making']","['assistant\n\n""Digital Image Creation and Processing""', '', '', '', '', '', '', '', '', '']","['""Image Generation Speed""', '', '', '', '', '', '', '', '', '']","['it takes too long to create image', 'it takes time to generate image', 'it is very nice but it takes a very long time to generate a image']"
13,493,13_google_than_better_search,"['google', 'than', 'better', 'search', 'this', 'is', 'it', 'assistant', 'more', 'thanks']","['better', 'best', 'than', 'googling', 'google', 'more', 'faster', 'good', 'this', 'useful']","['google', 'better', 'it', 'assistant', 'thanks', 'app', 'love', 'good', 'like', 'replaced']","['assistant\n\n""Google Assistant and Search Improvements""', '', '', '', '', '', '', '', '', '']","['""Google Assistant Replaces Search""', '', '', '', '', '', '', '', '', '']","['It is better than Google.', 'it is better than a Google', 'It is better than Google']"
14,419,14_stars_star_five_give,"['stars', 'star', 'five', 'give', '10', 'rating', 'it', 'rate', 'if', 'this']","['5stars', '5star', 'wonderful', 'amazing', 'good', 'deserves', 'perfect', 'nice', 'definitely', 'review']","['stars', 'five', 'give', 'rating', 'app', 'deserves', 'so', 'more', 'good', 'rated']","['assistant\n\n""Star Ratings and Reviews""', '', '', '', '', '', '', '', '', '']","['""Rate App: 10/10""', '', '', '', '', '', '', '', '', '']","['This app is amazing I give it 5 stars', ""it is so good that's why I give it all five star"", 'So perfect I give it five stars']"
15,408,15_expensive_premium_pay_subscription,"['expensive', 'premium', 'pay', 'subscription', 'but', 'money', 'free', 'for', 'to', 'is']","['expensive', 'price', 'costly', 'pricing', 'good', 'paying', 'affordable', 'cost', 'nice', 'money']","['expensive', 'premium', 'subscription', 'free', 'price', 'too', 'good', 'month', 'why', 'app']","['assistant\n\n""Premium Subscription vs Free Options""', '', '', '', '', '', '', '', '', '']","['""Premium App Cost""', '', '', '', '', '', '', '', '', '']","['very good but for the best you should pay money', 'nice application but the price of premium very expensive', ""it's very good app but it's free for a limited after that you will have to pay money for it""]"
16,402,16_deepseek_better_server_and,"['deepseek', 'better', 'server', 'and', 'is', 'busy', 'than', 'deep', 'the', 'seek']","['deepseek', 'deep', 'chat', 'seek', 'better', 'search', 'chatgpt', 'gpt', 'improve', 'more']","['deepseek', 'better', 'server', 'busy', 'seek', 'it', 'gpt', 'not', 'app', 'chat']","['assistant\n\n""AI Chat Server Comparison""', '', '', '', '', '', '', '', '', '']","['""Comparing DeepSeek and ChatGPT""', '', '', '', '', '', '', '', '', '']","['Deepseek is better than chat gpt', 'chat GPT < DeepSeek .', 'Deepseek is better than chatgpt']"
17,397,17_language_english_hindi_in,"['language', 'english', 'hindi', 'in', 'change', 'welsh', 'not', 'languages', 'arabic', 'tamil']","['english', 'language', 'please', 'change', 'translation', 'translate', 'languages', 'changing', 'speak', 'switching']","['english', 'not', 'languages', 'tamil', 'urdu', 'understand', 'please', 'why', 'translation', 'marathi']","['assistant\n\n""Language Translation and Multilingualism""', '', '', '', '', '', '', '', '', '']","['""Multilingual Communication Challenges""', '', '', '', '', '', '', '', '', '']","['l want language in English in this app', 'please change language in English', 'I have a english language or hindi language']"
18,373,18_ghibli_art_style_image,"['ghibli', 'art', 'style', 'image', 'convert', 'studio', 'photo', 'into', 'gibli', 'make']","['ghibli', 'gibli', 'ghibili', 'ghilbi', 'app', 'best', 'art', 'gibhli', 'animation', 'arts']","['art', 'style', 'image', 'studio', 'create', 'character', 'ghibili', 'app', 'nice', 'converting']","['assistant\n\n""Ghibli-inspired Digital Art Conversion""', '', '', '', '', '', '', '', '', '']","['**Ghibli Art Style Conversion**', '', '', '', '', '', '', '', '', '']","['this app is best for Ghibli art #CHARACTER#', 'this is the best for ghibli art', 'this is best app for ghibli art']"
19,359,19_aap_very_this_is,"['aap', 'very', 'this', 'is', 'nice', 'good', 'useful', 'best', 'for', 'and']","['aap', 'good', 'amazing', 'nice', 'ap', 'this', 'aaps', 'very', 'beautiful', 'great']","['very', 'nice', 'good', 'helpful', 'students', 'study', 'aaps', 'amazing', 'apo', 'like']","['assistant\n\n""Student Study Resource Aids""', '', '', '', '', '', '', '', '', '']","['""Study Tools for Students""', '', '', '', '', '', '', '', '', '']","['this is very good aap', 'this is very good aap', 'this is very good aap']"
20,339,20_busy_server_later_try,"['busy', 'server', 'later', 'try', 'again', 'always', 'please', 'is', 'the', 'time']","['busy', 'servers', 'server', 'working', 'constantly', 'often', 'problem', 'something', 'always', 'time']","['busy', 'later', 'try', 'again', 'please', 'time', 'servers', 'problem', 'app', 'ask']","['assistant\n\n""Server Error Problem Resolution""', '', '', '', '', '', '', '', '', '']","['""Server Overload: Try Again Later""', '', '', '', '', '', '', '', '', '']","['Very good but server is always busy.', 'Always server is busy #CHARACTER#', 'Server is always busy Error: The server is busy. Please try again later.']"
21,331,21_friend_my_best_he,"['friend', 'my', 'best', 'he', 'like', 'new', 'partner', 'only', 'is', 'companion']","['this', 'friend', 'best', 'friends', 'my', 'besties', 'nice', 'good', 'friendly', 'girlfriend']","['friend', 'best', 'new', 'partner', 'only', 'companion', 'assistant', 'feel', 'having', 'personal']","['assistant\n\n""Close Personal Friendship Relationships""', '', '', '', '', '', '', '', '', '']","['Best Friend Now', '', '', '', '', '', '', '', '', '']","['this is my best friend', 'this is my best friend', 'it is my best friend']"
22,328,22_life_changer_game_changing,"['life', 'changer', 'game', 'changing', 'changed', 'future', 'change', 'this', 'my', 'the']","['gamechanger', 'changer', 'change', 'changing', 'this', 'changed', 'awesome', 'game', 'changes', 'amazing']","['life', 'game', 'changing', 'future', 'this', 'technology', 'world', 'app', 'incredible', 'love']","['assistant\n\n""Revolutionary Life Changing Technology Era""', '', '', '', '', '', '', '', '', '']","['Revolutionary Tech Era', '', '', '', '', '', '', '', '', '']","['This is a game changer I love this app.', ""not just a game changer, it's A Life Changer"", 'that was game changer of your life']"
23,266,23_update_updated_version_already,"['update', 'updated', 'version', 'already', 'latest', 'store', 'but', 'it', 'app', 'asking']","['update', 'updating', 'updates', 'app', 'updated', 'unable', 'android', 'help', 'problem', 'installed']","['update', 'store', 'app', 'play', 'keeps', 'updating', 'not', 'why', 'requires', 'still']","['assistant\n\n""Mobile App Update Issues""', '', '', '', '', '', '', '', '', '']","['App Updates Required', '', '', '', '', '', '', '', '', '']","['I update this app but the could not update', ""f it i can't update it"", 'Can’t update the app Can’t update the app']"
24,232,24_limit_limited_but_limits,"['limit', 'limited', 'but', 'limits', 'good', 'it', 'limitations', 'has', 'free', 'the']","['limits', 'limitations', 'limitation', 'limiting', 'limit', 'good', 'restrictions', 'but', 'limited', 'problem']","['limited', 'but', 'limits', 'good', 'limitations', 'time', 'limitation', 'please', 'restrictions', 'thing']","['assistant\n\n""Overcoming Limitations and Restrictions""', '', '', '', '', '', '', '', '', '']","['""Balancing Use Limitations""', '', '', '', '', '', '', '', '', '']","['good but why has a limit?', 'very good but very limit for free use', ""it's good but it has limit's #CHARACTER#""]"
25,208,25_worst_ai_ever_stupid,"['worst', 'ai', 'ever', 'stupid', 'the', 'this', 'of', 'it', 'do', 'is']","['worst', 'awful', 'horrible', 'bad', 'dumbest', 'terrible', 'ai', 'stupid', 'useless', 'wrong']","['worst', 'ai', 'stupid', 'time', 'bad', 'useless', 'intelligence', 'artificial', 'dumb', 'dumbest']","['assistant\n\n""Negative Views of Artificial Intelligence""', '', '', '', '', '', '', '', '', '']","['""The Worst AI Ever""', '', '', '', '', '', '', '', '', '']","['The worst ai I have ever used.', ""worst app , worst Ai I've ever use."", 'one of the worst AI']"
26,203,26_wearing_white_black_his,"['wearing', 'white', 'black', 'his', 'background', 'with', 'man', 'shirt', 'dark', 'the']","['stylish', 'realistic', 'looks', 'man', 'portrait', 'standing', 'wearing', 'styled', 'looking', 'relaxed']","['wearing', 'white', 'background', 'man', 'young', 'portrait', 'cinematic', 'light', 'golden', 'slightly']","['assistant\n\n""Portraits of Young Men in Lighting""', '', '', '', '', '', '', '', '', '']","['""Man in Red Shirt, Cinematic Portrait""', '', '', '', '', '', '', '', '', '']","['shivamPrompt: Ultra-realistic portrait of a stylish young man (use the exact same face and hairstyle as in the reference image). He is standing outdoors in a modern city background with glass buildings and greenery. The man is wearing a fitted white t-shirt with a minimal black design on the chest, blue jeans, and a smartwatch on his left wrist. A beige blazer is casually draped over his shoulder. He has a neatly trimmed beard, well-styled hair, and is wearing black sunglasses and a thin gold ch', 'best apprsjejUltra-realistic cinematic portrait of a stylish young man standing against a dark minimal background with a soft golden sunlight beam casting dramatic shadows. He is wearing a crisp, elegant white suit (blazer and wide-leg trousers) with one hand casually in his pocket and the other holding a bouquet of red roses close to his chest. His hair is voluminous and slightly tousled, styled naturally with texture. His expression is serene and confident, eyes closed, basking in the warm su', 'Ultra-realistic cinematic portrait of a stylish young man standing against a dark minimal background with a soft golden sunlight beam casting dramatic shadows. He is wearing a crisp, elegant white suit (blazer and wide-leg trousers) with one hand casually in his pocket and the other holding a bouquet of red roses close to his chest. His hair is voluminous and slightly tousled, styled naturally with texture. His expression is serene and confident, eyes closed, basking in the warm sunlight. The']"
27,184,27_character_not_bad_this,"['character', 'not', 'bad', 'this', 'very', 'is', 'can', 'don', 'wrong', 'good']","['bad', 'character', 'cannot', 'problem', 'sad', 'worst', 'wrong', 'disgusting', 'this', 'good']","['character', 'not', 'bad', 'good', 'please', 'problem', 'boring', 'working', 'understand', 'app']","['assistant\n\n""Improving Customer Service and Support""', '', '', '', '', '', '', '', '', '']","['""Not a Good Working App""', '', '', '', '', '', '', '', '', '']","['it is very bad person dont like it is very bad it dont sing and say any thing #CHARACTER#️#CHARACTER#️#CHARACTER#️#CHARACTER#️#CHARACTER#️#CHARACTER#️#CHARACTER#️#CHARACTER#️#CHARACTER#️#CHARACTER#️#CHARACTER#️#CHARACTER#️#CHARACTER#️#CHARACTER#️#CHARACTER#️#CHARACTER#️#CHARACTER#️', 'i cant use it offline #CHARACTER# #CHARACTER# #CHARACTER# #CHARACTER# #CHARACTER# #CHARACTER# #CHARACTER# #CHARACTER# #CHARACTER# #CHARACTER# #CHARACTER# #CHARACTER# #CHARACTER# #CHARACTER# #CHARACTER# #CHARACTER# #CHARACTER# #CHARACTER# #CHARACTER# #CHARACTER# #CHARACTER# #CHARACTER# #CHARACTER#', '#CHARACTER# #CHARACTER# #CHARACTER#... The app is very bad']"
28,182,28_free_be_wish_should,"['free', 'be', 'wish', 'should', 'more', 'make', 'for', 'please', 'but', 'features']","['free', 'freedom', 'should', 'please', 'get', 'available', 'let', 'app', 'needs', 'need']","['free', 'wish', 'should', 'please', 'features', 'version', 'hope', 'better', 'available', 'need']","['assistant\n\n""Desirable Software Updates and Features""', '', '', '', '', '', '', '', '', '']","['""Free Better Version""', '', '', '', '', '', '', '', '', '']","['Should be free for all for free education', 'it have to be free', 'is this a free app?']"
29,164,29_ads_no_without_character,"['ads', 'no', 'without', 'character', 'need', 'app', 'any', 'free', 'it', 'is']","['app', 'free', 'nice', 'without', 'good', 'useful', 'easy', 'nothing', 'using', 'helpful']","['ads', 'without', 'character', 'need', 'app', 'free', 'good', 'easy', 'adds', 'charge']","['assistant\n\n""Free Ad Application Without Charge""', '', '', '', '', '', '', '', '', '']","['""No-Charge Ad-Free App""', '', '', '', '', '', '', '', '', '']","['I love this app it is really good, there is no ads', 'good app with no ads', 'very good app no ads']"
30,159,30_free_version_cost_good,"['free', 'version', 'cost', 'good', 'for', 'and', 'it', 'app', 'very', 'is']","['free', 'nice', 'good', 'excellent', 'freeeeeee', 'awesome', 'useful', 'thanks', 'ok', 'excelente']","['free', 'cost', 'it', 'app', 'source', 'excellent', 'useful', 'ct', 'nice', 'works']","['assistant\n\n""Free and Open Source Software""', '', '', '', '', '', '', '', '', '']","['""Open Source App""', '', '', '', '', '', '', '', '', '']","[""It's free and very nice"", ""it's free so it's good."", ""very good and it's for free""]"
31,126,31_pin_chats_add_chat,"['pin', 'chats', 'add', 'chat', 'search', 'to', 'feature', 'would', 'option', 'conversations']","['chat', 'chats', 'pin', '채팅', 'pinning', 'suggest', 'conversation', 'add', 'suggestion', 'conversations']","['pin', 'chats', 'add', 'search', 'feature', 'option', 'folders', 'conversation', 'important', 'easier']","['assistant\n\n""Conversation Search and Organization Tool""', '', '', '', '', '', '', '', '', '']","['**Find Conversations Easier**', '', '', '', '', '', '', '', '', '']","['About chat Please add a option of pin chat', 'Please add a pin chat feature in it', 'everything is good , but I want to give you a suggestion, you should add a pin chat option so that we can pin our important chats to top']"
32,111,32_claude_and_the_ai,"['claude', 'and', 'the', 'ai', 'to', 'of', 'is', 'with', 'that', 'in']","['good', 'great', 'amazing', 'like', 'claude', 'impressive', 'favorite', 'love', 'very', 'human']","['claude', 'ai', 'with', 'my', 'it', 'anthropic', 'like', 'code', 'better', 'ideas']","['assistant\n\n""Artificial Intelligence and Claude\'s Projects""', '', '', '', '', '', '', '', '', '']","['""AI Improving Code""', '', '', '', '', '', '', '', '', '']","['Claude is great, I use it every day!', 'King Claude Nothing comes close to Claude except for Grok 3, but Claude does everything better', 'Great tool Love it Claude.']"
33,101,33_picture_photo_add_please,"['picture', 'photo', 'add', 'please', 'images', 'pictures', 'photos', 'send', 'image', 'make']","['please', 'upload', 'send', 'picture', 'pictures', 'photos', 'images', 'photo', 'plz', 'image']","['picture', 'add', 'please', 'images', 'send', 'camera', 'generate', 'videos', 'need', 'xr']","['assistant\n\n""Image and Photo Management Options""', '', '', '', '', '', '', '', '', '']","['""Create/Share Image/Picture""', '', '', '', '', '', '', '', '', '']","['Pls add picture off the assignment or screenshot.hopefully also add answer pictures.example give a picture of car', 'please give the option for send the photo', 'please make photo more best']"
