Topic,Count,Name,Representation,KeyBERT,MMR,Llama3.1,MistralNemo,Representative_Docs,star_1_count,star_2_count,star_3_count,star_4_count,star_5_count,stars_mean
9,594,9_best_thing_the_ever,"['best', 'thing', 'the', 'ever', 'invention', 'of', 'greatest', 'one', 'world', 'far']","['best', 'bestest', 'greatest', 'excellent', 'mejor', 'awesome', 'top', 'great', 'everything', 'amazing']","['thing', 'greatest', 'happened', 'century', 'love', 'experience', 'life', 'humanity', 'mankind', 'invented']","['assistant\n\n""The Greatest Invention of All Time""', '', '', '', '', '', '', '', '', '']","['""Greatest Invention in Humanity\'s History""', '', '', '', '', '', '', '', '', '']",,5,0,4,26,559,4.909090909090909
10,591,10_login_log_sign_account,"['login', 'log', 'sign', 'account', 'in', 'can', 'error', 'to', 'up', 'not']","['authentication', 'login', 'unable', 'logged', 'logging', 'cannot', 'failed', 'account', 'password', 'blocked']","['login', 'account', 'error', 'email', 'failed', 'app', 'try', 'unable', 'password', 'google']","['assistant\n\n""Account Login and Password Issues""', '', '', '', '', '', '', '', '', '']","['""Google Login Error Fix""', '', '', '', '', '', '', '', '', '']",,408,49,44,40,50,1.7732656514382403
11,530,11_hai_bahut_bhi_ki,"['hai', 'bahut', 'bhi', 'ki', 'ho', 'ke', 'hi', 'se', 'kya', 'aur']","['hai', 'hi', 'app', 'good', 'yah', 'do', 'yeh', 'download', 'main', 'hy']","['hai', 'bahut', 'bhi', 'aur', 'kar', 'yah', 'do', 'mein', 'kuch', 'you']","['assistant\n\n""Indian Hinglish Vernacular Expressions""', '', '', '', '', '', '', '', '', '']","['""Understanding \'Yes\' and \'No\' in Hindi""', '', '', '', '', '', '', '', '', '']",,77,14,18,58,363,4.162264150943396
12,515,12_image_takes_slow_time,"['image', 'takes', 'slow', 'time', 'images', 'but', 'generate', 'take', 'long', 'create']","['picture', 'generating', 'images', 'image', 'time', 'pictures', 'creating', 'making', 'loading', 'editing']","['takes', 'slow', 'time', 'images', 'create', 'too', 'generating', 'good', 'late', 'making']","['assistant\n\n""Digital Image Creation and Processing""', '', '', '', '', '', '', '', '', '']","['""Image Generation Speed""', '', '', '', '', '', '', '', '', '']",,123,38,115,143,96,3.0990291262135923
13,493,13_google_than_better_search,"['google', 'than', 'better', 'search', 'this', 'is', 'it', 'assistant', 'more', 'thanks']","['better', 'best', 'than', 'googling', 'google', 'more', 'faster', 'good', 'this', 'useful']","['google', 'better', 'it', 'assistant', 'thanks', 'app', 'love', 'good', 'like', 'replaced']","['assistant\n\n""Google Assistant and Search Improvements""', '', '', '', '', '', '', '', '', '']","['""Google Assistant Replaces Search""', '', '', '', '', '', '', '', '', '']",,10,10,20,38,415,4.699797160243408
14,419,14_stars_star_five_give,"['stars', 'star', 'five', 'give', '10', 'rating', 'it', 'rate', 'if', 'this']","['5stars', '5star', 'wonderful', 'amazing', 'good', 'deserves', 'perfect', 'nice', 'definitely', 'review']","['stars', 'five', 'give', 'rating', 'app', 'deserves', 'so', 'more', 'good', 'rated']","['assistant\n\n""Star Ratings and Reviews""', '', '', '', '', '', '', '', '', '']","['""Rate App: 10/10""', '', '', '', '', '', '', '', '', '']",,9,5,17,46,342,4.687350835322196
15,408,15_expensive_premium_pay_subscription,"['expensive', 'premium', 'pay', 'subscription', 'but', 'money', 'free', 'for', 'to', 'is']","['expensive', 'price', 'costly', 'pricing', 'good', 'paying', 'affordable', 'cost', 'nice', 'money']","['expensive', 'premium', 'subscription', 'free', 'price', 'too', 'good', 'month', 'why', 'app']","['assistant\n\n""Premium Subscription vs Free Options""', '', '', '', '', '', '', '', '', '']","['""Premium App Cost""', '', '', '', '', '', '', '', '', '']",,92,30,73,85,128,3.3112745098039214
16,402,16_deepseek_better_server_and,"['deepseek', 'better', 'server', 'and', 'is', 'busy', 'than', 'deep', 'the', 'seek']","['deepseek', 'deep', 'chat', 'seek', 'better', 'search', 'chatgpt', 'gpt', 'improve', 'more']","['deepseek', 'better', 'server', 'busy', 'seek', 'it', 'gpt', 'not', 'app', 'chat']","['assistant\n\n""AI Chat Server Comparison""', '', '', '', '', '', '', '', '', '']","['""Comparing DeepSeek and ChatGPT""', '', '', '', '', '', '', '', '', '']",,108,25,29,31,209,3.517412935323383
17,397,17_language_english_hindi_in,"['language', 'english', 'hindi', 'in', 'change', 'welsh', 'not', 'languages', 'arabic', 'tamil']","['english', 'language', 'please', 'change', 'translation', 'translate', 'languages', 'changing', 'speak', 'switching']","['english', 'not', 'languages', 'tamil', 'urdu', 'understand', 'please', 'why', 'translation', 'marathi']","['assistant\n\n""Language Translation and Multilingualism""', '', '', '', '', '', '', '', '', '']","['""Multilingual Communication Challenges""', '', '', '', '', '', '', '', '', '']",,242,33,31,40,51,2.0554156171284634
18,373,18_ghibli_art_style_image,"['ghibli', 'art', 'style', 'image', 'convert', 'studio', 'photo', 'into', 'gibli', 'make']","['ghibli', 'gibli', 'ghibili', 'ghilbi', 'app', 'best', 'art', 'gibhli', 'animation', 'arts']","['art', 'style', 'image', 'studio', 'create', 'character', 'ghibili', 'app', 'nice', 'converting']","['assistant\n\n""Ghibli-inspired Digital Art Conversion""', '', '', '', '', '', '', '', '', '']","['**Ghibli Art Style Conversion**', '', '', '', '', '', '', '', '', '']",,96,19,21,45,192,3.584450402144772
19,359,19_aap_very_this_is,"['aap', 'very', 'this', 'is', 'nice', 'good', 'useful', 'best', 'for', 'and']","['aap', 'good', 'amazing', 'nice', 'ap', 'this', 'aaps', 'very', 'beautiful', 'great']","['very', 'nice', 'good', 'helpful', 'students', 'study', 'aaps', 'amazing', 'apo', 'like']","['assistant\n\n""Student Study Resource Aids""', '', '', '', '', '', '', '', '', '']","['""Study Tools for Students""', '', '', '', '', '', '', '', '', '']",,5,2,9,27,316,4.802228412256268
20,339,20_busy_server_later_try,"['busy', 'server', 'later', 'try', 'again', 'always', 'please', 'is', 'the', 'time']","['busy', 'servers', 'server', 'working', 'constantly', 'often', 'problem', 'something', 'always', 'time']","['busy', 'later', 'try', 'again', 'please', 'time', 'servers', 'problem', 'app', 'ask']","['assistant\n\n""Server Error Problem Resolution""', '', '', '', '', '', '', '', '', '']","['""Server Overload: Try Again Later""', '', '', '', '', '', '', '', '', '']",,178,53,51,35,22,2.0265486725663715
21,331,21_friend_my_best_he,"['friend', 'my', 'best', 'he', 'like', 'new', 'partner', 'only', 'is', 'companion']","['this', 'friend', 'best', 'friends', 'my', 'besties', 'nice', 'good', 'friendly', 'girlfriend']","['friend', 'best', 'new', 'partner', 'only', 'companion', 'assistant', 'feel', 'having', 'personal']","['assistant\n\n""Close Personal Friendship Relationships""', '', '', '', '', '', '', '', '', '']","['Best Friend Now', '', '', '', '', '', '', '', '', '']",,2,1,1,13,314,4.921450151057402
22,328,22_life_changer_game_changing,"['life', 'changer', 'game', 'changing', 'changed', 'future', 'change', 'this', 'my', 'the']","['gamechanger', 'changer', 'change', 'changing', 'this', 'changed', 'awesome', 'game', 'changes', 'amazing']","['life', 'game', 'changing', 'future', 'this', 'technology', 'world', 'app', 'incredible', 'love']","['assistant\n\n""Revolutionary Life Changing Technology Era""', '', '', '', '', '', '', '', '', '']","['Revolutionary Tech Era', '', '', '', '', '', '', '', '', '']",,4,0,2,11,311,4.905487804878049
23,266,23_update_updated_version_already,"['update', 'updated', 'version', 'already', 'latest', 'store', 'but', 'it', 'app', 'asking']","['update', 'updating', 'updates', 'app', 'updated', 'unable', 'android', 'help', 'problem', 'installed']","['update', 'store', 'app', 'play', 'keeps', 'updating', 'not', 'why', 'requires', 'still']","['assistant\n\n""Mobile App Update Issues""', '', '', '', '', '', '', '', '', '']","['App Updates Required', '', '', '', '', '', '', '', '', '']",,170,29,19,24,24,1.8834586466165413
24,232,24_limit_limited_but_limits,"['limit', 'limited', 'but', 'limits', 'good', 'it', 'limitations', 'has', 'free', 'the']","['limits', 'limitations', 'limitation', 'limiting', 'limit', 'good', 'restrictions', 'but', 'limited', 'problem']","['limited', 'but', 'limits', 'good', 'limitations', 'time', 'limitation', 'please', 'restrictions', 'thing']","['assistant\n\n""Overcoming Limitations and Restrictions""', '', '', '', '', '', '', '', '', '']","['""Balancing Use Limitations""', '', '', '', '', '', '', '', '', '']",,32,26,30,70,74,3.5517241379310347
25,208,25_worst_ai_ever_stupid,"['worst', 'ai', 'ever', 'stupid', 'the', 'this', 'of', 'it', 'do', 'is']","['worst', 'awful', 'horrible', 'bad', 'dumbest', 'terrible', 'ai', 'stupid', 'useless', 'wrong']","['worst', 'ai', 'stupid', 'time', 'bad', 'useless', 'intelligence', 'artificial', 'dumb', 'dumbest']","['assistant\n\n""Negative Views of Artificial Intelligence""', '', '', '', '', '', '', '', '', '']","['""The Worst AI Ever""', '', '', '', '', '', '', '', '', '']",,189,4,3,1,11,1.2740384615384615
26,203,26_wearing_white_black_his,"['wearing', 'white', 'black', 'his', 'background', 'with', 'man', 'shirt', 'dark', 'the']","['stylish', 'realistic', 'looks', 'man', 'portrait', 'standing', 'wearing', 'styled', 'looking', 'relaxed']","['wearing', 'white', 'background', 'man', 'young', 'portrait', 'cinematic', 'light', 'golden', 'slightly']","['assistant\n\n""Portraits of Young Men in Lighting""', '', '', '', '', '', '', '', '', '']","['""Man in Red Shirt, Cinematic Portrait""', '', '', '', '', '', '', '', '', '']",,24,4,7,16,152,4.320197044334975
27,184,27_character_not_bad_this,"['character', 'not', 'bad', 'this', 'very', 'is', 'can', 'don', 'wrong', 'good']","['bad', 'character', 'cannot', 'problem', 'sad', 'worst', 'wrong', 'disgusting', 'this', 'good']","['character', 'not', 'bad', 'good', 'please', 'problem', 'boring', 'working', 'understand', 'app']","['assistant\n\n""Improving Customer Service and Support""', '', '', '', '', '', '', '', '', '']","['""Not a Good Working App""', '', '', '', '', '', '', '', '', '']",,131,14,11,9,19,1.7554347826086956
28,182,28_free_be_wish_should,"['free', 'be', 'wish', 'should', 'more', 'make', 'for', 'please', 'but', 'features']","['free', 'freedom', 'should', 'please', 'get', 'available', 'let', 'app', 'needs', 'need']","['free', 'wish', 'should', 'please', 'features', 'version', 'hope', 'better', 'available', 'need']","['assistant\n\n""Desirable Software Updates and Features""', '', '', '', '', '', '', '', '', '']","['""Free Better Version""', '', '', '', '', '', '', '', '', '']",,13,5,26,32,106,4.170329670329671
29,164,29_ads_no_without_character,"['ads', 'no', 'without', 'character', 'need', 'app', 'any', 'free', 'it', 'is']","['app', 'free', 'nice', 'without', 'good', 'useful', 'easy', 'nothing', 'using', 'helpful']","['ads', 'without', 'character', 'need', 'app', 'free', 'good', 'easy', 'adds', 'charge']","['assistant\n\n""Free Ad Application Without Charge""', '', '', '', '', '', '', '', '', '']","['""No-Charge Ad-Free App""', '', '', '', '', '', '', '', '', '']",,3,0,4,12,145,4.804878048780488
30,159,30_free_version_cost_good,"['free', 'version', 'cost', 'good', 'for', 'and', 'it', 'app', 'very', 'is']","['free', 'nice', 'good', 'excellent', 'freeeeeee', 'awesome', 'useful', 'thanks', 'ok', 'excelente']","['free', 'cost', 'it', 'app', 'source', 'excellent', 'useful', 'ct', 'nice', 'works']","['assistant\n\n""Free and Open Source Software""', '', '', '', '', '', '', '', '', '']","['""Open Source App""', '', '', '', '', '', '', '', '', '']",,3,0,3,15,138,4.7924528301886795
31,126,31_pin_chats_add_chat,"['pin', 'chats', 'add', 'chat', 'search', 'to', 'feature', 'would', 'option', 'conversations']","['chat', 'chats', 'pin', '채팅', 'pinning', 'suggest', 'conversation', 'add', 'suggestion', 'conversations']","['pin', 'chats', 'add', 'search', 'feature', 'option', 'folders', 'conversation', 'important', 'easier']","['assistant\n\n""Conversation Search and Organization Tool""', '', '', '', '', '', '', '', '', '']","['**Find Conversations Easier**', '', '', '', '', '', '', '', '', '']",,8,4,19,33,62,4.087301587301587
32,111,32_claude_and_the_ai,"['claude', 'and', 'the', 'ai', 'to', 'of', 'is', 'with', 'that', 'in']","['good', 'great', 'amazing', 'like', 'claude', 'impressive', 'favorite', 'love', 'very', 'human']","['claude', 'ai', 'with', 'my', 'it', 'anthropic', 'like', 'code', 'better', 'ideas']","['assistant\n\n""Artificial Intelligence and Claude\'s Projects""', '', '', '', '', '', '', '', '', '']","['""AI Improving Code""', '', '', '', '', '', '', '', '', '']",,5,1,8,13,84,4.531531531531532
33,101,33_picture_photo_add_please,"['picture', 'photo', 'add', 'please', 'images', 'pictures', 'photos', 'send', 'image', 'make']","['please', 'upload', 'send', 'picture', 'pictures', 'photos', 'images', 'photo', 'plz', 'image']","['picture', 'add', 'please', 'images', 'send', 'camera', 'generate', 'videos', 'need', 'xr']","['assistant\n\n""Image and Photo Management Options""', '', '', '', '', '', '', '', '', '']","['""Create/Share Image/Picture""', '', '', '', '', '', '', '', '', '']",,10,2,10,16,63,4.188118811881188
